"도형번호","지형지물부호","관리번호","관리부서","CCTV구분","CCTV관리번호","개소명","행정읍면동","법정읍면동","법정읍면동리","번지","통신망","카메라 구분","위도(degree)","경도(degree)","X좌표","Y좌표","카메라 수","동/서","비고"
4191,AE134,1100,스마트도시과,CTV001,신왕-01111,신왕리462-1,"41590400","41590400","4159040021","462-1",자가망, ,"37.082436","126.952817","195804.684489964","498162.628407932","1",CTM002, 
4192,AE134,1101,스마트도시과,CTV001,신왕-01112,신왕리651,"41590400","41590400","4159040021","651",KT, ,"37.083247","126.944282","195045.877258571","498252.980173438","1",CTM002, 
4193,AE134,1104,스마트도시과,CTV001,신왕-01115,양감경로당,"41590400","41590400","4159040021","633-4",자가망, ,"37.080567","126.945758","195176.954248465","497955.4733415","3",CTM002, 
4194,AE134,1147,스마트도시과,CTV001,신왕-01158,신왕리109-14,"41590400","41590400","4159040021","109-14",자가망, ,"37.075861","126.960806","196514.754296696","497432.581117068","1",CTM002, 
4195,AE134,1148,스마트도시과,CTV001,신왕-01159,신왕리114-2,"41590400","41590400","4159040021","114-2",자가망, ,"37.076243","126.95842","196302.548792511","497475.036455963","1",CTM002, 
4196,AE134,1149,스마트도시과,CTV001,신왕-01160,신왕리1845(618-1),"41590400","41590400","4159040021","1845",KT, ,"37.078643","126.948554","195425.425841477","497741.866715489","1",CTM002, 
4197,AE134,1150,스마트도시과,CTV001,신왕-01161,신왕리1877,"41590400","41590400","4159040021","1877",KT, ,"37.071101","126.946028","195200.341481904","496905.03827671","1",CTM002, 
4198,AE134,1152,스마트도시과,CTV001,신왕-01163,신왕리423,"41590400","41590400","4159040021","423",KT, ,"37.079115","126.953852","195896.51523643","497793.978127908","1",CTM002, 
4199,AE134,1153,스마트도시과,CTV001,신왕-01164,신왕리1025(868-1),"41590400","41590400","4159040021","1025",KT, ,"37.075171","126.945112","195119.151560383","497356.677449127","1",CTM002, 
4200,AE134,1154,스마트도시과,CTV001,신왕-01165,신왕리826-1,"41590400","41590400","4159040021","826-1",KT, ,"37.07848","126.94599","195197.469310901","497723.870298003","1",CTM002, 
4201,AE134,1155,스마트도시과,CTV001,신왕-01166,신왕리988-2,"41590400","41590400","4159040021","988-2",KT, ,"37.066617","126.94464","195076.615878344","496407.428618237","1",CTM002, 
