도형번호,지형지물부호,관리번호,관리기관,행정읍면동,도엽번호,설치일자,정류장종류,정류장명,정류장유형,대장초기화여부,비고,도로구간번호,
642,AE260,8.89E+11,MNG259,41590259,376161473B,2016-01-01,AEE003,모아엘가아파트,STT001,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614730321,
643,AE260,8.89E+11,MNG259,41590259,376161473A,2016-01-01,AEE003,"롯데시네마,부영7단지",STT001,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614730340,
644,AE260,2.12E+11,MNG259,41590350,376150957A,2014-11-27,AEE003,장외리,STT002,1,전곡 해양산업단지 진입도로 개설공사 GIS DB 구축사업(20171102)_재납품,99920150298,
645,AE260,8.89E+11,MNG259,41590259,376161463A,2016-01-01,AEE004,향남부영3단지,STT001,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614630675,
646,AE260,8.89E+11,MNG259,41590259,376161463C,2016-01-01,AEE003, ,STT002,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614630658,
647,AE260,8.89E+11,MNG259,41590259,376161491A,2016-01-01,AEE004,상신6리,STT001,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614910074,
648,AE260,8.89E+11,MNG259,41590259,376161473B,2016-01-01,AEE003,향남모아8단지,STT002,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614730322,
649,AE260,8.89E+11,MNG259,41590259,376161473A,2016-01-01,AEE003,"향남모아7,8단지",STT002,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614730340,
650,AE260,8.89E+11,MNG259,41590259,376161463A,2016-01-01,AEE003,향남주공1단지,STT002,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614630673,
651,AE260,8.89E+11,MNG259,41590259,376161453D,2016-01-01,AEE003,향남주공1단지,STT002,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614530664,
652,AE260,8.89E+11,MNG259,41590259,376161463B,2016-01-01,AEE003,"향남주공1,2단지",STT002,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614630498,
653,AE260,8.89E+11,MNG259,41590259,376161464A,2016-01-01,AEE003,"향남주공1,2단지",STT002,1,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),614640496,
654,AE260,99920150041,MNG259,41590370,376162214C,1990-01-01,AEE000, ,STT000,1, ,99920150734,
655,AE260,99920150044,MNG259,41590370,376162203B,1990-01-01,AEE000, ,STT000,1, ,99920150734,
656,AE260,99920150047,MNG259,41590256,376162110C,1990-01-01,AEE000, ,STT000,1, ,99920150746,
657,AE260,99920150048,MNG259,41590256,376162109D,1990-01-01,AEE000, ,STT000,1, ,99920150746,
658,AE260,99920150037,MNG259,41590256,376162231A,1990-01-01,AEE000, ,STT000,1, ,99920150748,
659,AE260,99920150003,MNG259,41590256,376162221D,1990-01-01,AEE000, ,STT000,1, ,99920150748,
660,AE260,99920150040,MNG259,41590256,376162221D,1990-01-01,AEE000, ,STT000,1, ,99920150748,
661,AE260,99920150042,MNG259,41590256,376162211C,1990-01-01,AEE000, ,STT000,1, ,99920150748,
662,AE260,99920150043,MNG259,41590256,376162211C,1990-01-01,AEE000, ,STT000,1, ,99920150748,
663,AE260,99920150046,MNG259,41590256,376162120D,1990-01-01,AEE000, ,STT000,1, ,99920150748,
664,AE260,99920150004,MNG259,41590256,376161689B,1990-01-01,AEE000, ,STT000,1, ,99920150748,
665,AE260,99920150005,MNG259,41590256,376161689B,1990-01-01,AEE000, ,STT000,1, ,99920150748,
666,AE260,99920150175,MNG259,41590360,376161376B,1990-01-01,AEE000, ,STT000,1, ,99920150675,
667,AE260,99920150025,MNG259,41590360,376161365A,1990-01-01,AEE000, ,STT000,1, ,99920150675,
668,AE260,99920150026,MNG259,41590360,376161365A,1990-01-01,AEE000, ,STT000,1, ,99920150675,
669,AE260,99920150177,MNG259,41590360,376161364B,1990-01-01,AEE000, ,STT000,1, ,99920150675,
670,AE260,99920150178,MNG259,41590360,376161353D,1990-01-01,AEE000, ,STT000,1, ,99920150675,
671,AE260,99920150179,MNG259,41590360,376161353D,1990-01-01,AEE000, ,STT000,1, ,99920150675,
672,AE260,99920150180,MNG259,41590360,376161323B,1990-01-01,AEE000, ,STT000,1, ,99920150676,
673,AE260,99920150182,MNG259,41590360,376161315A,1990-01-01,AEE000, ,STT000,1, ,99920150676,
674,AE260,99920150183,MNG259,41590360,376161305C,1990-01-01,AEE000, ,STT000,1, ,99920150676,
675,AE260,99920150184,MNG259,41590360,376161305C,1990-01-01,AEE000, ,STT000,1, ,99920150676,
676,AE260,99920150023,MNG259,41590370,376161257C,1990-01-01,AEE000, ,STT000,1, ,99920150676,
677,AE260,99920150193,MNG259,41590370,376161248A,1990-01-01,AEE000, ,STT000,1, ,99920150676,
678,AE260,99920150197,MNG259,41590370,376161239D,1990-01-01,AEE000, ,STT000,1, ,99920150676,
679,AE260,99920150198,MNG259,41590370,376161239C,1990-01-01,AEE000, ,STT000,1, ,99920150676,
680,AE260,99920150199,MNG259,41590370,376161238D,1990-01-01,AEE000, ,STT000,1, ,99920150676,
681,AE260,99920150015,MNG259,41590256,376161610D,1990-01-01,AEE000, ,STT000,1, ,99920150755,
682,AE260,99920150154,MNG259,41590256,376161733C,1990-01-01,AEE000, ,STT000,1, ,99920150760,
683,AE260,99920150012,MNG259,41590256,376161731C,1990-01-01,AEE000, ,STT000,1, ,99920150760,
684,AE260,99920150155,MNG259,41590256,376161731C,1990-01-01,AEE000, ,STT000,1, ,99920150760,
685,AE260,99920150017,MNG259,41590256,376161608C,1990-01-01,AEE000, ,STT000,1, ,99920150512,
686,AE260,99920150208,MNG259,41590256,376161199C,1990-01-01,AEE000, ,STT000,1, ,99920150512,
