도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,대장초기화여부,납품업체,로딩일자
16319,AE915,106124,41590253,376160928A,MNG244,1, ,
16320,AE914,200994,41590360,376160890A,MNG244,1, ,
16321,AE914,503619,41590550,377130241C,MNG244,1, ,
16322,AE914,500587,41590520,377130137A,MNG244,1, ,
16323,AE914,504984,41590410,377130631B,MNG244,1, ,
16324,AE914,104101,41590253,376160583D,MNG244,1, ,
16325,AE914,106665,41590410,376161037C,MNG244,1, ,
16326,AE915,203574,41590400,376162031D,MNG244,1, ,
16327,AE914,504110,41590540,377130271A,MNG244,1, ,
16328,AE914,300818,41590340,376150566D,MNG244,1, ,
16329,AE914,101390,41590560,376160559B,MNG244,1, ,
16330,AE914,810324,41590262,376160274A,MNG244,1, ,
16331,AE915,810325,41590262,376160274A,MNG244,1, ,
16332,AE915,103252,41590253,376160576A,MNG244,1, ,
16333,AE914,500659,41590520,377130145B,MNG244,1, ,
16334,AE914,505670,41590410,377131126A,MNG244,1, ,
16335,AE915,300760,41590350,376151052A,MNG244,1, ,
16336,AE914,202415,41590400,376161930C,MNG244,1, ,
16337,AE914,301176,41590340,376150587B,MNG244,1, ,
16338,AE915,105987,41590253,376160918D,MNG244,1, ,
16339,AE916,500374,41590550,377130244A,MNG244,1, ,
16340,AE914,505651,41590410,377131115C,MNG244,1, ,
16341,AE915,301345,41590340,376150566D,MNG244,1, ,
16342,AE915,301354,41590340,376150567C,MNG244,1, ,
16343,AE914,301092,41590340,376150569C,MNG244,1, ,
16344,AE914,201138,41590360,376161320A,MNG244,1, ,
17851,AE916,108714,41590410,376161075D,MNG244,1, ,
17852,AE914,201826,41590259,376161432D,MNG244,1, ,
17853,AE914,501540,41590520,377130179A,MNG244,1, ,
17854,AE914,200268,41590360,376160847B,MNG244,1, ,
17855,AE914,102219,41590560,376160557D,MNG244,1, ,
17856,AE915,102710,41590253,376160561A,MNG244,1, ,
17857,AE915,506016,41590520,377130129C,MNG244,1, ,
17858,AE914,109232,41590410,376161097A,MNG244,1, ,
17859,AE915,107162,41590253,376160960B,MNG244,1, ,
17860,AE915,5.11308E+11,41590600,377130778C,MNG244,1, ,
17861,AE914,102540,41590560,376160569B,MNG244,1, ,
17862,AE914,201472,41590259,376161431A,MNG244,1, ,
17863,AE914,109230,41590410,376161097A,MNG244,1, ,
17864,AE915,507763,41590410,377130672A,MNG244,1, ,
17865,AE914,104381,41590570,376160597B,MNG244,1, ,
17866,AE915,507460,41590570,377130191D,MNG244,1, ,
17867,AE914,106485,41590253,376160938C,MNG244,1, ,
