도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,설치일자,등기구모형,광원종류,대장초기화여부,비고,도로구간번호,
2739,AI010,8.21E+13,41590140,376122256A,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2740,AI010,8.21E+13,41590140,376122246C,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2741,AI010,8.21E+13,41590140,376122246D,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2742,AI010,8.21E+13,41590140,376122246C,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2743,AI010,8.21E+13,41590140,376122246C,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2744,AI010,8.21E+13,41590140,376122246C,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2745,AI010,8.21E+13,41590140,376122233D,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2746,AI010,8.21E+13,41590140,376122233D,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2747,AI010,8.21E+13,41590140,376122233D,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2748,AI010,8.21E+13,41590140,376122233D,MNG244,2019-01-01,LSH017,LCD005,1, ,8.21E+13,
2749,AI010,500270,41590570,377130164D,MNG244,1900-01-01,LSH002,LCD002,1,30174002,9017331020,
2750,AI010,500300,41590520,377130178A,MNG244,1900-01-01,LSH000,LCD002,1,30178015,2701731001,
2751,AI010,100018,41590253,376160976B,MNG244,1900-01-01,LSH002,LCD002,1, ,1331011011,
2752,AI010,401009,41590587,377130253C,MNG244,2006-04-01,LSH021,LCD003,1, ,2700119001,
2753,AI010,100549,41590410,376161507B,MNG244,1900-01-01,LSH007,LCD002,1, ,9005811004,
2754,AI010,500712,41590570,377130605B,MNG244,1900-01-01,LSH002,LCD002,1,30606005,2600731014,
2755,AI010,401144,41590585,377130706D,MNG244,2006-04-01,LSH022,LCD999,1, ,2807719001,
2756,AI010,401145,41590585,377130706D,MNG244,2006-04-01,LSH022,LCD999,1, ,2807719001,
2757,AI010,100746,41590560,376160559B,MNG244,1900-01-01,LSH007,LCD002,1, ,9012021001,
2758,AI010,401931,41590587,377130701C,MNG244,2006-04-01,LSH022,LCD999,1, ,2802519001,
2759,AI010,401929,41590587,377130701A,MNG244,2006-04-01,LSH022,LCD999,1, ,2802519001,
2760,AI010,99920150195,41590350,376151042B,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150649,
2761,AI010,99920150198,41590350,376151023B,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150649,
2762,AI010,99920150171,41590330,376160619D,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150648,
2763,AI010,401168,41590585,377130706B,MNG244,2006-04-01,LSH022,LCD999,1, ,2807819001,
2764,AI010,402024,41590540,377130180B,MNG244,2006-06-20,LSH999,LCD002,1, ,2900644325,
2765,AI010,100119,41590253,376160938B,MNG244,1900-01-01,LSH007,LCD002,1, ,1104311034,
2766,AI010,100055,41590253,376160908C,MNG244,1900-01-01,LSH002,LCD002,1, ,9001011005,
2767,AI010,401635,41590585,377130286A,MNG244,2006-04-01,LSH010,LCD999,1, ,2709819004,
2768,AI010,401634,41590585,377130286A,MNG244,2006-04-01,LSH010,LCD999,1, ,2709819004,
2769,AI010,401824,41590585,377130274C,MNG244,2006-04-01,LSH022,LCD999,1, ,2702019001,
2770,AI010,100571,41590253,376160597C,MNG244,2001-01-01,LSH007,LCD002,1, ,2006411001,
2771,AI010,100083,41590253,376160939A,MNG244,1900-01-01,LSH007,LCD002,1, ,9004211002,
2772,AI010,100872,41590253,376160576B,MNG244,1900-01-01,LSH002,LCD002,1, ,2501321012,
2773,AI010,401124,41590586,377130706D,MNG244,2006-04-01,LSH022,LCD999,1, ,2809119001,
2774,AI010,2.12E+11,41590259,376161433A,MNG244,2013-06-01,LSH017,LCD004,1,"발안도시계획도로 (소2-15,18호선)  GIS DB구축 사업",21161433007,
2775,AI010,401623,41590585,377130265A,MNG244,2006-04-01,LSH021,LCD003,1, ,2705419001,
2776,AI010,300109,41590340,376150567C,MNG244,1900-01-01,LSH007,LCD002,1, ,2800313001,
2777,AI010,99920150061,41590259,376161400D,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150421,
2778,AI010,99920150149,41590320,376160399C,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150087,
2779,AI010,401715,41590585,377130245D,MNG244,2006-04-01,LSH022,LCD999,1, ,2900219002,
2780,AI010,200057,41590259,376161422D,MNG244,1900-01-01,LSH002,LCD002,1, ,2007812007,
